Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating,Path
East New York,(2022– ),"Crime,Drama","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.","https://m.media-amazon.com/images/M/MV5BYzkyNzNiMDItMGU1Yy00NmEyLWE4N2ItMjkzMDZmMmVhNDU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",10366460,https://www.imdb.com/title/tt10366460/,115 min,R,"11,431",6.0,Posters\10366460.jpg
American Pie 2,(1999),"Action,Adventure,Comedy","The government is asking Eiffel to design something spectacular for the 1889 Paris World Fair, but Eiffel simply wants to design the subway. Suddenly, everything changes when Eiffel crosses paths with a mysterious woman from Arun's past.","https://m.media-amazon.com/images/M/MV5BN2QzNWYwODAtZjY3Ny00MDRhLTllYTUtNDVkMTMxYzQyNmQzXkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_UX67_CR0,0,67,98_AL_.jpg",10366514,https://www.imdb.com/title/tt10366514/,108 min,UA,"7,949",5.7,Posters\10366514.jpg
Beyond: Two Souls,(2013 Video Game),"Action,Adventure,Drama","A Mexican-American Mafia kingpin is released from prison, falls in love for the first time, and grows introspective about his gangster lifestyle.","https://m.media-amazon.com/images/M/MV5BZjVkM2UwOWMtZTNkZS00NjM5LWI3NzEtZGVjNjQyNzA2ODMwXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX67_CR0,0,67,98_AL_.jpg",103671,https://www.imdb.com/title/tt0103671/,113 min,U,"22,263",6.6,Posters\103671.jpg
Raising Helen,(2008–2010),"Animation,Action,Adventure","Following the success of their first album, the Fisherman's Friends struggle to adjust to their new-found fame and work towards a second album.","https://m.media-amazon.com/images/M/MV5BM2Y5YzdmNDQtM2Q5ZC00YTE2LTllZWItZDcxMDAzZDFkMDdlXkEyXkFqcGdeQXVyMTQzNzQyODgz._V1_UX67_CR0,0,67,98_AL_.jpg",10373344,https://www.imdb.com/title/tt10373344/,40 min,R,"7,404",5.0,Posters\10373344.jpg
The Grass Harp,(1995),"Comedy,Drama","After meeting online, transatlantic lovers Aviva and Eden embark on a tumultuous courtship, love affair and marriage. The couple struggles, separates, and tries to get back together, as ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BMTUxZmIwMTMtOWJhZS00ZGVmLWFlZGEtNDczYjY5ZTI1ZGIwXkEyXkFqcGdeQXVyNjMwNTE0MDc@._V1_UY98_CR0,0,67,98_AL_.jpg",10373830,https://www.imdb.com/title/tt10373830/,92 min,R,"42,565",6.9,Posters\10373830.jpg
Happy Together,(2015–2017),"Action,Comedy,Crime","In a windswept fishing village, a mother is torn between protecting her beloved son and her own sense of right and wrong. A lie she tells for him rips apart their family and close-knit community in this tense, sweepingly emotional epic.","https://m.media-amazon.com/images/M/MV5BMzJiYjg5NWQtMjQxYy00MzYzLWE4Y2ItNDhmMjFjNjQ0MDQ5XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX67_CR0,0,67,98_AL_.jpg",10375396,https://www.imdb.com/title/tt10375396/,130 min,U,"49,220",6.2,Posters\10375396.jpg
Bad Lieutenant,(1992),"Crime,Drama,Thriller","While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness and redemption.","https://m.media-amazon.com/images/M/MV5BNjZmYzAzOGUtMWFlNy00OWExLThmYWQtMjJlYWIxMDczOGE4XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",103759,https://www.imdb.com/title/tt0103759/,103 min,R,"88,719",7.2,Posters\103759.jpg
The Book of Eli,(2010),"Action,Adventure,Drama","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg",1037705,https://www.imdb.com/title/tt1037705/,120 min,A,"59,612",7.9,Posters\1037705.jpg
Basic Instinct,(1992),"Drama,Mystery,Thriller",A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,"https://m.media-amazon.com/images/M/MV5BZjk0YmJkNjItNDY3Mi00ZWFiLWEwY2EtMDJlZWJlOWZkNzJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",103772,https://www.imdb.com/title/tt0103772/,127 min,A,"203,909",7.0,Posters\103772.jpg
McMafia,(2018),"Comedy,Drama,Family","A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen.","https://m.media-amazon.com/images/M/MV5BODgwY2MyMTItMzY1OC00YmU3LTlhOWMtYWFkNGJjNzIwOWZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",103786,https://www.imdb.com/title/tt0103786/,87 min,7,"10,374",8.3,Posters\103786.jpg
Love Life,(2020–2021),"Comedy,Romance",Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting,"https://m.media-amazon.com/images/M/MV5BN2Y4ODk2ZTQtMzFjOS00MzlhLWFhN2YtYzBiYmRmNzFhYjY0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",10380768,https://www.imdb.com/title/tt10380768/,35 min,A,"219,853",6.7,Posters\10380768.jpg
What We Do in the Shadows,(2019– ),"Comedy,Fantasy,Horror","20 years after the Outbreak, Joel decides to leave Ellie in the care of his brother, Tommy. Based off of a scene from the hit 2013 video game developed by Naughty Dog and Sony Computer Entertainment.","https://m.media-amazon.com/images/M/MV5BNGUzZDI4ZmItM2FlYi00YjE3LWExYTMtN2M2NDQzNGIyODFmXkEyXkFqcGdeQXVyNzY2ODEwMzc@._V1_UY98_CR4,0,67,98_AL_.jpg",10383426,https://www.imdb.com/title/tt10383426/,50 min,UA,"581,348",8.0,Posters\10383426.jpg
Nicholas Nickleby,(2002),"Adventure,Drama,Romance","After a pandemic rolled through the island of Sløborn, the survivors have to deal with the consequences","https://m.media-amazon.com/images/M/MV5BOThkMmJkM2QtYzgwZC00OTAxLWExZmYtNTQyZGNmZjNlYjVjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",10384106,https://www.imdb.com/title/tt10384106/,48 min,A,"110,511",7.4,Posters\10384106.jpg
The Art of Self-Defense,(1993 TV Movie),"Action,Drama,Romance",Teenage beauty tries to convince her new boyfriend that her father murdered her mother and that he should die too.,"https://m.media-amazon.com/images/M/MV5BMTY3OTIxNDE3OV5BMl5BanBnXkFtZTcwMjYwNDQyMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",103843,https://www.imdb.com/title/tt0103843/,-,UA 16+,"55,611",8.6,Posters\103843.jpg
King Richard,(2021),"Biography,Drama,Sport","A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's.","https://m.media-amazon.com/images/M/MV5BYThkMTM4ZTMtN2M3OS00ODRjLTkxMTgtZTM4ZmZlNGZjOGIxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",103855,https://www.imdb.com/title/tt0103855/,129 min,18,"12,952",5.5,Posters\103855.jpg
Superwog,(2017–2022),"Comedy,Drama,Romance",A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,"https://m.media-amazon.com/images/M/MV5BZDZmZDU5MGYtMTU3YS00NDczLWJmOTQtOTdlODk2NmMxZjllXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",103859,https://www.imdb.com/title/tt0103859/,117 min,7,"5,823",6.1,Posters\103859.jpg
Alvin and the Chipmunks,(2007),"Comedy,Crime,Drama","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.","https://m.media-amazon.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",1038686,https://www.imdb.com/title/tt1038686/,102 min,UA,"96,516",7.2,Posters\1038686.jpg
Tell Me a Story,(2018–2020),"Drama,Thriller","A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.","https://m.media-amazon.com/images/M/MV5BYTU5NDk5ZDYtMDA0NC00MjNiLTkzNTQtZjBlYzRmNzZlNzM0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",103873,https://www.imdb.com/title/tt0103873/,30 min,R,"11,680",5.4,Posters\103873.jpg
Day Shift,(2016– ),"Biography,Crime,Drama",The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,"https://m.media-amazon.com/images/M/MV5BNjcyMDZlMTktYTIxOC00ZWFhLWJkYzgtNWNiYjAwYTFkNjIyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",103874,https://www.imdb.com/title/tt0103874/,128 min,UA,"221,435",7.4,Posters\103874.jpg
1946: The Mistranslation That Shifted Culture,(2022),"Documentary,History","The mystery of how theology, history, culture, and politics led to a Biblical mistranslation, the man who tried to stop it, and the impassioned academic crusade of the LGBTQIA+ Christian community driven to discover the truth.","https://m.media-amazon.com/images/M/MV5BYTc4OGI4NzktMmExMy00ZWYyLTg4YWItM2JjMmUwZjk1ZmQ2XkEyXkFqcGdeQXVyMTk0Njc0NzU@._V1_UX67_CR0,0,67,98_AL_.jpg",10389180,https://www.imdb.com/title/tt10389180/,92 min,U,"2,234",6.4,Posters\10389180.jpg
Treme,(I) (2010),"Action,Comedy,Romance","A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.","https://m.media-amazon.com/images/M/MV5BMTUwNjY4MjY0MV5BMl5BanBnXkFtZTcwNTA2OTYwMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",1038919,https://www.imdb.com/title/tt1038919/,110 min,A,"136,203",5.7,Posters\1038919.jpg
Buffy the Vampire Slayer,(1992),"Action,Comedy,Fantasy",Flighty teenage girl Buffy Summers learns that she is her generation's destined battler of vampires.,"https://m.media-amazon.com/images/M/MV5BN2NkY2Y5MmMtZjZmNC00YWZmLTkwZTUtMDFiZTQ2MmNjMTMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",103893,https://www.imdb.com/title/tt0103893/,101 min,U,"94,312",7.8,Posters\103893.jpg
Chaplin,(1992),"Biography,Comedy,Drama","An elderly Charlie Chaplin discusses his autobiography with his editor, recounting his amazing journey from his poverty-stricken childhood to world-wide success after the ingenious invention of the Little Tramp.","https://m.media-amazon.com/images/M/MV5BZGQ3ZjI3NjgtMjU4OS00OTBiLWE4YmUtYWY4ZTljNTlkNGNjXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX67_CR0,0,67,98_AL_.jpg",103939,https://www.imdb.com/title/tt0103939/,143 min,U,"91,864",8.0,Posters\103939.jpg
The Big C,(2010–2013),"Comedy,Drama","In the near future, scientists make a momentous discovery - a way to find one's soulmate. Each self-contained episode illustrates the potential cost of finding true love.","https://m.media-amazon.com/images/M/MV5BZmFiN2UxMGItZWM1My00NDA4LTk0NzktYmUwYmNiZjUzZjE3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",10394844,https://www.imdb.com/title/tt10394844/,81 min,PG,"9,149",5.7,Posters\10394844.jpg
Robin Roberts Presents: Mahalia,(2021 TV Movie),"Biography,Drama,Music","Chucky returns for revenge against Andy, the young boy who defeated him, and now a teenager living in a military academy.","https://m.media-amazon.com/images/M/MV5BOTRjYWVhNjAtMjIwOC00NjU3LTliZTAtMjczMmEwMzQ5Y2Y3XkEyXkFqcGdeQXVyMjQwNTU1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",103956,https://www.imdb.com/title/tt0103956/,109 min,12+,"328,270",7.9,Posters\103956.jpg
Como agua para chocolate,(1992),"Drama,Romance","When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking.","https://m.media-amazon.com/images/M/MV5BOTZlZGFlMWEtMzhlYS00NGI5LTg1YzktOGE3MDk5NjMyYzFhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY98_CR1,0,67,98_AL_.jpg",103994,https://www.imdb.com/title/tt0103994/,90 min,R,"5,686",6.5,Posters\103994.jpg
The Grand Tour,(2016– ),"Comedy,Sport,Talk-Show",An overweight teen is bullied by a clique of cool girls poolside while holidaying in her village. The long walk home will change the rest of her life.,"https://m.media-amazon.com/images/M/MV5BZWM0NTM1NjgtNDk5ZS00ZjM5LWIwODItZTUzNmEwM2I0ZjgyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",10399608,https://www.imdb.com/title/tt10399608/,99 min,UA 7+,"354,022",6.4,Posters\10399608.jpg
Byzantium,(2011),"Drama,Fantasy,Horror","A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years, leaving a trail of destruction in its path.","https://m.media-amazon.com/images/M/MV5BNzBjOWUxMTItYWY1OC00Zjg5LTlhYWMtMjI3YjUyMjVkMWFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",104029,https://www.imdb.com/title/tt0104029/,101 min,PG-13,"36,191",5.4,Posters\104029.jpg
Gilmore Girls,(2000–2007),Horror,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.","https://m.media-amazon.com/images/M/MV5BNTc5YWQ2MzAtM2E3Yi00MDUyLWFiYzctMzQ5NWVkMmQ0OTcxXkEyXkFqcGdeQXVyMTU2MDk3MDQz._V1_UX67_CR0,0,67,98_AL_.jpg",10403420,https://www.imdb.com/title/tt10403420/,138 min,18,"89,330",8.0,Posters\10403420.jpg
DuckTales,(2017–2021),"Comedy,Drama,Romance",A temperamental figure skater and an arrogant former hockey player attempt to win the Olympic Gold Medal as a figure skating pairs team.,"https://m.media-amazon.com/images/M/MV5BMGUzNTExM2YtMzU3MC00MjY0LTkzODEtNzM4OWYwYzY3ZDg2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",104040,https://www.imdb.com/title/tt0104040/,101 min,18,"8,201",8.7,Posters\104040.jpg
Black Snow,(2023– ),"Crime,Drama,Mystery",SAS: Rogue Heroes charts the creation of the famed Special Forces unit. Based on the book by Ben Macintyre.,"https://m.media-amazon.com/images/M/MV5BNDA5YzYyYWEtMjk4OS00ZjA2LWI0NWEtYzhkNTQ0ZDFmZWIxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",10405370,https://www.imdb.com/title/tt10405370/,52 min,UA,"192,399",7.3,Posters\10405370.jpg
Death Becomes Her,(1992),"Comedy,Fantasy,Horror","When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival.","https://m.media-amazon.com/images/M/MV5BNzM2YjIwMzgtZTg4Yy00NmJlLWIzOTYtYTQ0Zjc3NjIyZDcyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",104070,https://www.imdb.com/title/tt0104070/,104 min,PG-13,"90,617",7.6,Posters\104070.jpg
Christmas Class Reunion,(2022 TV Movie),"Comedy,Drama,Fantasy",A uniformed cop is recruited by a drug enforcement agent to infiltrate a drug smuggling ring looking to expand its operation.,"https://m.media-amazon.com/images/M/MV5BOWVmYjM4ZWQtZjMxYS00YTg5LThlNGUtMmJhZmUzMTMwNGMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",104073,https://www.imdb.com/title/tt0104073/,107 min,R,"3,029",6.8,Posters\104073.jpg
Passengers,(2017),"Biography,Drama,History",A man becomes obsessed with vengeance when his soul mate marries another man.,"https://m.media-amazon.com/images/M/MV5BZjNkZTIyOTctMGU3Yi00ZmI1LTljNDctMTAzNzBmYWFmYWZkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",104181,https://www.imdb.com/title/tt0104181/,125 min,A,"11,669",6.2,Posters\104181.jpg
The Proposal,(I) (2009),"Comedy,Drama,Romance",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,"https://m.media-amazon.com/images/M/MV5BOGM5YTNiYzktNmEwZC00ZjE5LWIyNzEtOTUwNDE0NmVkYzE3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1041829,https://www.imdb.com/title/tt1041829/,96 min,R,"74,724",6.3,Posters\1041829.jpg
Nothing to Lose,(2021),Documentary,"It is an exclusive peek into the inner-world of an elite Dominatrix, Goddess Alexandra Snow. Witness a group of kinky, independent women fighting for equality in gender, sexuality and profession.","https://m.media-amazon.com/images/M/MV5BZTFlZmQyNjMtYmU1Zi00YmI4LTk4NjQtZjEyZDUyOWJhNTc3XkEyXkFqcGdeQXVyNDUwMTI1MjQ@._V1_UY98_CR14,0,67,98_AL_.jpg",10419130,https://www.imdb.com/title/tt10419130/,96 min,A,"8,357",5.5,Posters\10419130.jpg
Adventureland,(2009),"Comedy,Drama,Romance","A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.","https://m.media-amazon.com/images/M/MV5BN2FiZTMzOGQtODQ2Ny00ZGFlLThiMDgtMTdhMjg4ZWM1MWMzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",104231,https://www.imdb.com/title/tt0104231/,89 min,R,"1,483",6.7,Posters\104231.jpg
Odd Thomas,(2013),"Comedy,Fantasy,Horror",A member of Parliament falls passionately in love with his son's fiancée despite the dangers of discovery.,"https://m.media-amazon.com/images/M/MV5BYjBjMDEwMTgtOWMxOS00YTc4LTllNWMtNDZmNTQxYjgxM2Q5XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",104237,https://www.imdb.com/title/tt0104237/,41 min,R,"21,262",5.8,Posters\104237.jpg
Soupçons,(2004–2018),"Short,Comedy,Drama","The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus.","https://m.media-amazon.com/images/M/MV5BNzNiNTliMjItMmY0ZS00YTMzLTllYTQtMzE2ZDM1YTgwZjlmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_UX67_CR0,0,67,98_AL_.jpg",104254,https://www.imdb.com/title/tt0104254/,99 min,PG,"79,236",6.1,Posters\104254.jpg
Warehouse 13,(2009–2014),"Drama,Mystery,Sci-Fi",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,"https://m.media-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg",104257,https://www.imdb.com/title/tt0104257/,138 min,UA,"163,295",5.2,Posters\104257.jpg
Is It Cake?,(2022– ),Reality-TV,"A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both.","https://m.media-amazon.com/images/M/MV5BYjJhZGJlNGEtZWE3Ny00NWJhLTgyZTUtMTQ1NDZiZjNmY2VhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",104265,https://www.imdb.com/title/tt0104265/,124 min,R,"14,639",6.4,Posters\104265.jpg
The Secret of Roan Inish,(1994),"Drama,Family,Fantasy",Chronicles the rise of Chess Records and its recording artists.,"https://m.media-amazon.com/images/M/MV5BMTIzMzA5MTgzN15BMl5BanBnXkFtZTcwNzUxMzIwMg@@._V1_UX67_CR0,0,67,98_AL_.jpg",1042877,https://www.imdb.com/title/tt1042877/,111 min,UA,"83,773",5.9,Posters\1042877.jpg
The Man Who Killed Don Quixote,(2014),Comedy,"During a cryogenics test, a pilot frozen in 1939 awakes in 1992 but time is running out, as his body starts to age rapidly.","https://m.media-amazon.com/images/M/MV5BYjIzMzYyNzYtMzVjYi00Njg0LThmOTItOGFjMjAyM2IwM2RhXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",104291,https://www.imdb.com/title/tt0104291/,127 min,U,"46,024",5.6,Posters\104291.jpg
Men in Black II,(III) (2022),"Documentary,History,War","Barbara O'Brien, an Irish Catholic mother, has her life turned upside-down when her son, a freshman in college, is involved in a tragic hazing incident.","https://m.media-amazon.com/images/M/MV5BNzcyNjNjODYtODlkMC00YmU0LTljNTQtZTI5N2VjYzMyNjliXkEyXkFqcGdeQXVyNTgwMTcwNzY@._V1_UX67_CR0,0,67,98_AL_.jpg",10430850,https://www.imdb.com/title/tt10430850/,101 min,18,"9,800",5.5,Posters\10430850.jpg
Ingrid Goes West,(2017),"Comedy,Drama",An examination of the machinations behind the scenes at a real estate office.,"https://m.media-amazon.com/images/M/MV5BNTYzN2MxODMtMDBhOC00Y2M0LTgzMTItMzQ4NDIyYWIwMDEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",104348,https://www.imdb.com/title/tt0104348/,100 min,UA 16+,"3,921",5.2,Posters\104348.jpg
Titans,(I) (2018– ),"Action,Adventure,Crime",A team of young superheroes combat evil and other perils.,"https://m.media-amazon.com/images/M/MV5BMjA2ZTIxYjktMWUwMi00MDU5LTlmMDYtMTI4ODc1MDY4YzNjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1043813,https://www.imdb.com/title/tt1043813/,49 min,A,"2,135,138",8.8,Posters\1043813.jpg
Mr Selfridge,(1992),"Drama,Thriller","After her humiliated husband kills himself, an embittered pregnant widow loses her child, and embarks on a mission of vengeance against a woman and her family.","https://m.media-amazon.com/images/M/MV5BYjdiZDA5ODUtMWE2OC00ZDVkLTkwN2YtOWU5ZTA2ZDdhZWQ3XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",104389,https://www.imdb.com/title/tt0104389/,110 min,A,"129,427",5.5,Posters\104389.jpg
The Langoliers,(2014),"Drama,Horror,Thriller",An investigative reporter must send the newly unbound Pinhead and his legions back to Hell.,"https://m.media-amazon.com/images/M/MV5BMTRiMGFjMmMtYTUzOS00N2U4LWJjZDQtNjFjNjg4MTg4YTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",104409,https://www.imdb.com/title/tt0104409/,106 min,A,"102,207",6.7,Posters\104409.jpg
Home Alone 2: Lost in New York,(1992),"Adventure,Comedy,Crime","One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.","https://m.media-amazon.com/images/M/MV5BNDI1MzM0Y2YtYmIyMS00ODE3LTlhZjEtZTUyNmEzMTNhZWU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",104431,https://www.imdb.com/title/tt0104431/,111 min,U,"27,499",5.2,Posters\104431.jpg
Incarnate,(2016),"Horror,Thriller","Jack loses $65,000 in poker in Las Vegas, where he's marrying Betsy. The wedding will have to wait as the poker winner wants the weekend with Betsy to cancel the debt. She accepts. Whom will she marry?","https://m.media-amazon.com/images/M/MV5BYzA3ODllYTgtMWM4NC00MmNiLThhYTctNzdkNTQzZTA4YmM1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",104438,https://www.imdb.com/title/tt0104438/,25 min,A,"8,985",7.5,Posters\104438.jpg
HouseSitter,(1992),"Comedy,Romance","Con artist Gwen moves into Newton's empty home without his knowledge and begins setting up house, posing as his new wife.","https://m.media-amazon.com/images/M/MV5BMWM1NjA4ZjktZTAwNy00NzBiLWEzZjYtZWI1YmJiMDUwYmI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",104452,https://www.imdb.com/title/tt0104452/,102 min,U,"25,625",6.1,Posters\104452.jpg
Goosebumps,(2008–2012),"Crime,Drama,Mystery",A businessman thwarts his wife's bequest of an estate to another woman.,"https://m.media-amazon.com/images/M/MV5BMTk3MDY3NDc2NF5BMl5BanBnXkFtZTgwODcwNjgzOTE@._V1_UY98_CR0,0,67,98_AL_.jpg",104454,https://www.imdb.com/title/tt0104454/,86 min,PG-13,"36,590",6.1,Posters\104454.jpg
Nine Days,(2020),"Drama,Fantasy",A reclusive man conducts a series of interviews with human souls for a chance to be born.,"https://m.media-amazon.com/images/M/MV5BZTNmOGFiOGEtMDQyZS00NDhmLThiMTAtZDk2YjAxZmExZDJiXkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_UX67_CR0,0,67,98_AL_.jpg",10451852,https://www.imdb.com/title/tt10451852/,124 min,R,"8,927",6.8,Posters\10451852.jpg
Ging chaat goo si III: Chiu kup ging chaat,(1992),"Action,Comedy,Crime",A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,"https://m.media-amazon.com/images/M/MV5BZDBlYTJiY2EtMjhkMS00MTU1LWJiNzgtNWE0MzBiZjA5NjNlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY98_CR1,0,67,98_AL_.jpg",104558,https://www.imdb.com/title/tt0104558/,96 min,PG,"82,100",7.2,Posters\104558.jpg
Silver Linings Playbook,(2012),"Comedy,Drama,Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",1045658,https://www.imdb.com/title/tt1045658/,122 min,A,"713,756",7.7,Posters\1045658.jpg
Playboy Wet & Wild: The Locker Room,(2022– ),Short,"French teenager Alexis's boat capsizes, and he is rescued by David, who ends up as his boyfriend.","https://m.media-amazon.com/images/M/MV5BYjNlZDcyMjQtMjk0Mi00Y2EzLWE3ZjMtMGE1MDZmMjJiMzY2XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UY98_CR2,0,67,98_AL_.jpg",10457128,https://www.imdb.com/title/tt10457128/,90 min,R,"2,539",6.0,Posters\10457128.jpg
Juice,(1992),"Action,Crime,Drama","Four inner-city teenagers get caught up in the pursuit of power and happiness, which they refer to as ""the juice"".","https://m.media-amazon.com/images/M/MV5BNTdmOWM1YTQtMTdmOS00OTM2LWIzNTgtODQ5NDliNDMxYmZiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",104573,https://www.imdb.com/title/tt0104573/,95 min,R,"27,903",7.0,Posters\104573.jpg
